feature,importance,rank,importance_normalized,importance_cumulative
PC18,0.40228850876163363,1,0.08560679521372971,0.08560679521372971
assoc_cg20034712,0.3231536844288582,2,0.06876694382999447,0.1543737390437242
var_cg10526376,0.2593955691005973,3,0.055199248498796545,0.20957298754252074
assoc_cg05029148,0.22927125149777167,4,0.04878880864826012,0.25836179619078087
assoc_cg19149522,0.2007232654763863,5,0.04271381137672426,0.3010756075675051
assoc_cg03794530,0.19021157650975598,6,0.040476929176218895,0.341552536743724
assoc_cg17319011,0.1836140527048105,7,0.0390729793815149,0.38062551612523887
assoc_cg04495110,0.1706654148479713,8,0.03631751566538874,0.41694303179062764
assoc_cg18661413,0.16697562058916451,9,0.03553232927647891,0.45247536106710656
assoc_cg22022881,0.14915022935759556,10,0.03173909486005734,0.4842144559271639
assoc_cg21116266,0.14664128009971877,11,0.031205191701893904,0.5154196476290578
assoc_cg24723561,0.13354664459421747,12,0.028418659758516672,0.5438383073875744
assoc_cg05406088,0.12365428296815495,13,0.02631357010902764,0.5701518774966021
var_cg15794987,0.12300918080170412,14,0.026176292687842308,0.5963281701844444
assoc_cg06672008,0.12080471195301284,15,0.025707182809795105,0.6220353529942395
assoc_cg07874127,0.11714062642138653,16,0.02492746722528314,0.6469628202195227
assoc_cg13389958,0.11125158615437017,17,0.02367428237619118,0.6706371025957139
PC10,0.10226884826631276,18,0.021762760207166998,0.6923998628028809
assoc_cg14215082,0.09994584220268575,19,0.021268425668551076,0.7136682884714319
assoc_cg07355514,0.09293939307433433,20,0.019777456767767505,0.7334457452391995
assoc_cg23901592,0.09093107361930979,21,0.019350087383443612,0.752795832622643
assoc_cg06587249,0.09005814203545498,22,0.019164327975190337,0.7719601605978333
assoc_cg24088023,0.0866432784884718,23,0.018437646705448583,0.7903978073032819
assoc_cg09434726,0.07980351626452627,24,0.016982148695280832,0.8073799559985627
assoc_cg17164063,0.07663647946575435,25,0.016308204834688336,0.823688160833251
assoc_cg27422857,0.07483063378645291,26,0.015923921769453786,0.8396120826027048
assoc_cg26278454,0.07452171741940286,27,0.015858184519703278,0.8554702671224081
assoc_cg13117582,0.07441174014822424,28,0.015834781410922132,0.8713050485333302
assoc_cg04842962,0.06798847865734202,29,0.014467914550253225,0.8857729630835834
assoc_cg06211550,0.06751879294322954,30,0.014367965663155718,0.9001409287467391
assoc_cg16542322,0.062299024882470785,31,0.013257201607736697,0.9133981303544758
assoc_cg03602288,0.06208583139609804,32,0.013211834139535842,0.9266099644940117
assoc_cg27530053,0.05526946634171707,33,0.01176131503545134,0.938371279529463
assoc_cg22146357,0.045699458869322,34,0.009724822190042677,0.9480961017195056
assoc_cg20290983,0.035662322524220254,35,0.007588924552120001,0.9556850262716257
assoc_cg27525020,0.03184814197106769,36,0.006777268821442908,0.9624622950930686
assoc_cg19145055,0.028193619596724805,37,0.0059995882720595365,0.9684618833651281
var_cg01778345,0.025249763421742517,38,0.0053731371375586815,0.9738350205026868
var_cg00540295,0.024421597767721053,39,0.005196903896979423,0.9790319243996662
var_cg27586797,0.023199824931637008,40,0.004936911243203876,0.9839688356428701
assoc_cg26258213,0.023076134672320482,41,0.004910590017345752,0.9888794256602158
assoc_cg02490460,0.01852715274364885,42,0.0039425689182656055,0.9928219945784814
assoc_cg13056524,0.014050094121810793,43,0.0029898530632207656,0.9958118476417022
assoc_cg08416194,0.01101325589542203,44,0.0023436153942802134,0.9981554630359823
assoc_cg14641092,0.007757904256617309,45,0.001650878179514379,0.9998063412154967
assoc_cg16328548,0.0005133073864677798,46,0.00010923155734751342,0.9999155727728443
assoc_cg15798385,0.0003967454128667044,47,8.442722715550202e-05,0.9999999999999998
var_cg18403317,0.0,48,0.0,0.9999999999999998
var_cg00769799,0.0,49,0.0,0.9999999999999998
var_cg26703319,0.0,50,0.0,0.9999999999999998
var_cg00458505,0.0,51,0.0,0.9999999999999998
var_cg08118032,0.0,52,0.0,0.9999999999999998
var_cg10869581,0.0,53,0.0,0.9999999999999998
var_cg24925526,0.0,54,0.0,0.9999999999999998
var_cg08108619,0.0,55,0.0,0.9999999999999998
PC15,0.0,56,0.0,0.9999999999999998
